id;title;description;quest_type;difficulty;points;sector;created_at
3ea25c06-60c9-4ec8-addc-fd76b8263895;Problem Spotter;Observe your surroundings for 24 hours and document 3 problems you notice. Describe who is affected and why it matters.;observation;beginner;15;general;2026-03-08 08:18:53.551193+00
ef505182-fe3f-4126-8260-e077944fbe15;Reverse Engineer a Startup;Pick any successful startup and write down: What problem did they solve? Who were their first users? What was their simplest version?;research;beginner;20;general;2026-03-08 08:18:53.551193+00
c9457601-b0b2-4446-a0de-ec642f82c25f;5 Whys Challenge;"Take any problem and ask ""Why?"" five times to get to the root cause. Document your chain of reasoning.";creative;beginner;10;general;2026-03-08 08:18:53.551193+00
30148f7a-ec71-4eaa-a777-c3d16d60a97c;Customer Interview Simulation;Imagine you're building a product. Write 5 questions you would ask potential users to validate your idea.;validation;intermediate;25;general;2026-03-08 08:18:53.551193+00
e93fee8b-3985-4925-b445-a0e67a2238d5;One-Page Business Canvas;Pick an idea from your Startup Sparks and fill out a simplified business model canvas: Problem, Solution, Customer, Revenue.;planning;intermediate;30;general;2026-03-08 08:18:53.551193+00
e8af9b97-d65b-4a61-be01-e8ddf79d6a15;Competitor Landscape Map;Choose a sector you're interested in and identify 5 existing solutions. What gaps do you see? Where could you differentiate?;research;intermediate;25;tech_innovation;2026-03-08 08:18:53.551193+00
18e2e9c3-48ae-4e46-9177-9581d249987e;Social Impact Brainstorm;Identify 3 social problems in your community. For each, brainstorm one technology-based and one community-based solution.;creative;beginner;15;social_impact;2026-03-08 08:18:53.551193+00
cfd5481e-34af-440c-b31c-b050b752c24b;Pitch in 60 Seconds;Write a 60-second elevator pitch for your favorite idea. Include: problem, solution, target user, and why you care.;communication;intermediate;20;general;2026-03-08 08:18:53.551193+00
fa9d72dc-e29d-46f7-80ef-bb240bca5eab;Build a Landing Page Mockup;Sketch or wireframe a landing page for a startup idea. Include headline, value proposition, CTA, and key features.;design;advanced;35;tech_innovation;2026-03-08 08:18:53.551193+00
48e344a5-ac7a-4652-9a08-73afafce6b16;Revenue Model Explorer;For your startup idea, brainstorm 3 different ways to make money. Evaluate which is most sustainable for your target market.;planning;intermediate;25;general;2026-03-08 08:18:53.551193+00